task_id,source,result,n_smells,smells,n_smells_defs,smells_defs,n_extra_stmts,sloc,cyclomatic,maintainability,halstead_volume,halstead_difficulty,halstead_effort,cognitive,comment_density,api_calls,bleu,chrf,rouge_l,codebleu,ast_similarity,canon_sloc,canon_cyclomatic,canon_maintainability,canon_halstead_volume,canon_halstead_difficulty,canon_halstead_effort,canon_cognitive,canon_comment_density,canon_api_calls,n_output_tokens
HumanEval_0,humaneval,pass,0,,0,,0,7.000,4.000,95.214,28.529,1.500,42.794,6.000,0.000,3.000,24.230,42.614,50.980,32.081,58.716,9.000,5.000,95.606,28.529,1.500,42.794,10.000,0.000,2.000,226
HumanEval_1,humaneval,pass,1,magic_number,1,magic_number,0,18.000,6.000,85.972,83.026,3.000,249.079,9.000,0.000,1.000,35.791,50.701,65.789,25.586,77.108,16.000,5.000,89.399,47.549,2.500,118.872,7.000,0.000,3.000,288
HumanEval_2,humaneval,pass,0,,0,,0,2.000,1.000,65.110,4.755,0.500,2.377,0.000,0.000,1.000,13.135,62.458,50.000,33.948,55.556,2.000,1.000,65.110,4.755,0.500,2.377,0.000,0.000,0.000,126
HumanEval_3,humaneval,pass,0,,0,,0,8.000,3.000,71.886,13.932,1.333,18.575,3.000,0.000,0.000,100.000,100.000,100.000,100.000,100.000,8.000,3.000,96.413,13.932,1.333,18.575,3.000,0.000,0.000,70
HumanEval_4,humaneval,pass,0,,0,,0,4.000,2.000,80.592,27.000,1.000,27.000,0.000,0.000,3.000,100.000,100.000,100.000,100.000,100.000,4.000,2.000,80.592,27.000,1.000,27.000,0.000,0.000,3.000,223
HumanEval_5,humaneval,pass,0,,0,,0,8.000,3.000,100.000,4.755,0.500,2.377,3.000,0.000,2.000,36.224,57.620,55.000,31.681,62.000,10.000,3.000,98.546,12.000,1.500,18.000,2.000,0.000,1.000,184
HumanEval_6,humaneval,pass,1,magic_number,1,magic_number,0,14.000,5.000,91.346,36.000,2.400,86.400,8.000,0.000,3.000,42.114,56.603,48.193,26.429,70.149,13.000,3.000,93.626,25.266,2.250,56.849,10.000,0.000,3.000,281
HumanEval_7,humaneval,pass,0,,0,,0,3.000,3.000,87.852,4.755,0.500,2.377,0.000,0.000,0.000,38.827,74.601,70.000,72.057,100.000,3.000,3.000,87.852,4.755,0.500,2.377,0.000,0.000,0.000,158
HumanEval_8,humaneval,pass,0,,0,,0,8.000,2.000,98.193,13.932,1.333,18.575,1.000,0.000,0.000,33.370,39.172,57.143,68.919,100.000,8.000,2.000,98.193,13.932,1.333,18.575,1.000,0.000,0.000,214
HumanEval_9,humaneval,pass,0,,0,,0,9.000,4.000,96.855,27.000,1.800,48.600,4.000,0.000,1.000,40.096,49.304,69.091,38.190,78.261,11.000,3.000,100.000,4.755,0.500,2.377,4.000,0.000,2.000,187
HumanEval_10,humaneval,pass,0,,0,,0,11.000,5.000,87.056,39.863,2.333,93.014,4.000,0.000,3.000,100.000,100.000,100.000,100.000,100.000,9.000,4.000,84.782,60.944,2.500,152.361,2.000,0.000,1.000,300
HumanEval_11,humaneval,pass,1,dead_code,1,dead_code,0,3.000,3.000,94.874,4.755,0.500,2.377,1.000,0.000,2.000,34.531,44.308,56.410,29.107,68.493,8.000,2.000,100.000,4.755,0.500,2.377,5.000,0.000,3.000,133
HumanEval_12,humaneval,pass,0,,0,,0,9.000,4.000,97.316,11.610,1.000,11.610,4.000,0.000,1.000,35.260,52.920,62.222,39.138,69.663,8.000,5.000,96.698,11.610,1.000,11.610,4.000,0.000,2.000,208
HumanEval_13,humaneval,pass,0,,0,,0,5.000,2.000,100.000,4.755,0.500,2.377,1.000,0.000,1.000,49.041,85.513,75.000,74.250,71.642,4.000,2.000,96.345,4.755,0.500,2.377,1.000,0.000,0.000,136
HumanEval_14,humaneval,pass,0,,0,,0,3.000,2.000,99.651,4.755,0.500,2.377,0.000,0.000,2.000,35.178,45.786,56.000,12.928,49.180,6.000,2.000,100.000,4.755,0.500,2.377,1.000,0.000,3.000,115
HumanEval_15,humaneval,pass,0,,0,,0,2.000,2.000,71.933,4.755,0.500,2.377,0.000,0.000,3.000,53.831,66.427,80.000,48.448,95.652,2.000,2.000,71.933,4.755,0.500,2.377,0.000,0.000,3.000,126
HumanEval_16,humaneval,pass,0,,0,,0,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,100.000,100.000,100.000,65.811,100.000,2.000,1.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,118
HumanEval_17,humaneval,pass,0,,0,,0,5.000,2.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,70.343,74.181,63.158,54.493,77.419,4.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,1.000,275
HumanEval_18,humaneval,pass,0,,0,,0,8.000,4.000,91.694,62.907,2.444,153.774,4.000,0.000,2.000,75.015,79.428,77.551,75.494,93.220,6.000,3.000,88.953,53.774,1.667,89.624,3.000,0.000,2.000,192
HumanEval_19,humaneval,pass,1,dead_code,1,dead_code,0,8.000,2.000,100.000,2.000,0.500,1.000,1.000,0.000,5.000,14.959,45.814,43.478,20.485,60.870,15.000,3.000,100.000,0.000,0.000,0.000,0.000,0.000,3.000,267
HumanEval_20,humaneval,pass,0,,0,,0,11.000,3.000,93.311,49.829,2.143,106.776,3.000,0.000,4.000,3.716,20.325,15.385,11.818,51.163,16.000,6.000,88.998,51.891,2.857,148.261,16.000,0.000,4.000,366
HumanEval_21,humaneval,pass,0,,0,,0,5.000,2.000,98.578,25.266,1.200,30.319,0.000,0.000,2.000,66.159,60.314,75.000,69.436,100.000,5.000,2.000,98.578,25.266,1.200,30.319,0.000,0.000,2.000,211
